start_hour,year,month,count
17,2016,11,5
18,2016,10,148677
18,2016,11,5
18,2016,12,2
19,2016,10,94623
19,2016,11,4
20,2016,10,64389
20,2016,11,1
20,2016,12,1
21,2016,10,45455
21,2016,11,4
22,2016,10,34299
22,2016,11,2
23,2016,10,23039
23,2016,11,58
0,2016,11,10186
0,2016,12,2
1,2016,11,5722
2,2016,11,3048
3,2016,11,1843
4,2016,11,2058
5,2016,11,7678
6,2016,11,28517
6,2016,12,2
7,2016,11,62254
7,2016,12,1
8,2016,11,107112
9,2016,11,79791
9,2016,12,4
10,2016,11,56325
10,2016,12,1
11,2016,11,57205
11,2016,12,1
12,2016,11,65145
12,2016,12,2
13,2016,11,69718
14,2016,11,72912
14,2016,12,2
15,2016,11,76774
15,2016,12,1
16,2016,11,86700
16,2016,12,4
17,2016,11,109776
17,2016,12,2
18,2016,11,101839
18,2016,12,3
19,2016,11,68680
19,2016,12,1
20,2016,11,47288
21,2016,11,34234
21,2016,12,2
22,2016,11,25633
22,2016,12,2
23,2016,11,16435
23,2016,12,39
0,2016,12,7355
0,2017,1,1
1,2016,12,4101
2,2016,12,2358
3,2016,12,1373
4,2016,12,1432
5,2016,12,5126
6,2016,12,18505
7,2016,12,40004
7,2017,1,1
8,2016,12,72588
8,2017,1,2
9,2016,12,56857
10,2016,12,38427
10,2017,1,1
11,2016,12,39367
12,2016,12,45103
13,2016,12,47502
13,2017,1,2
14,2016,12,49850
14,2017,1,4
15,2016,12,53138
15,2017,1,4
16,2016,12,60221
16,2017,1,3
17,2016,12,74982
17,2017,1,1
18,2016,12,66908
18,2017,1,2
19,2016,12,45312
19,2017,1,1
20,2016,12,30602
20,2017,1,1
21,2016,12,22083
21,2017,1,6
22,2016,12,17216
22,2017,1,3
23,2016,12,11705
23,2017,1,45
0,2017,1,5547
1,2017,1,3392
2,2017,1,2015
3,2017,1,1359
4,2017,1,1430
5,2017,1,5812
6,2017,1,19491
7,2017,1,41589
8,2017,1,73457
9,2017,1,52594
9,2017,2,2
10,2017,1,33992
11,2017,1,33207
11,2017,2,1
12,2017,1,37833
13,2017,1,39936
13,2017,2,1
14,2017,1,42157
14,2017,2,1
15,2017,1,42402
15,2017,2,3
16,2017,1,47101
16,2017,2,2
17,2017,1,65857
17,2017,2,2
18,2017,1,62735
18,2017,3,1
19,2017,1,42826
19,2017,2,2
19,2017,3,1
20,2017,1,28683
21,2017,1,19698
21,2017,2,1
21,2017,3,1
22,2017,1,14347
