end_station_name,end_station_latitude,end_station_longitude,year,month,count
Lispenard St & Broadway,40.71939226,-74.00247214,2014,1,956
Little West St & 1 Pl,40.70569254,-74.01677685,2014,1,398
MacDougal St & Prince St,40.72710258,-74.00297088,2014,1,1724
MacDougal St & Prince St,40.72710258,-74.00297088,2014,2,2
MacDougal St & Washington Sq,40.73226398,-73.99852205,2014,1,832
Macon St & Nostrand Ave,40.68098339,-73.95004798,2014,1,132
Madison St & Clinton St,40.71269042,-73.98776323,2014,1,533
Madison St & Montgomery St,40.713126,-73.984844,2014,1,559
Maiden Ln & Pearl St,40.70706456,-74.00731853,2014,1,972
Market St & Cherry St,40.71076228,-73.99400398,2014,1,352
Market St & Cherry St,40.71076228,-73.99400398,2014,2,1
Mercer St & Bleecker St,40.72679454,-73.99695094,2014,1,1546
Mercer St & Spring St,40.72362738,-73.99949601,2014,1,962
Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,2014,1,446
Monroe St & Bedford Ave,40.6851443,-73.95380904,2014,1,256
Monroe St & Bedford Ave,40.6851443,-73.95380904,2014,2,1
Monroe St & Classon Ave,40.6845683,-73.95881081,2014,1,99
Montague St & Clinton St,40.69424674,-73.99215922,2014,1,282
Mott St & Prince St,40.72317958,-73.99480012,2014,1,1125
Murray St & West St,40.7149787,-74.013012,2014,1,828
Myrtle Ave & St Edwards St,40.69327018,-73.97703874,2014,1,127
Nassau St & Navy St,40.69839895,-73.98068914,2014,1,90
Norfolk St & Broome St,40.7172274,-73.98802084,2014,1,820
Old Fulton St,40.70277159,-73.99383605,2014,1,209
Old Slip & Front St,40.7037992,-74.00838676,2014,1,527
Park Ave & St Edwards St,40.69608941,-73.97803415,2014,1,87
Park Pl & Church St,40.71336124,-74.00937622,2014,1,778
Pearl St & Anchorage Pl,40.70281858,-73.98765762,2014,1,314
Pearl St & Hanover Square,40.7047177,-74.00926027,2014,1,607
Pearl St & Hanover Square,40.7047177,-74.00926027,2014,2,1
Perry St & Bleecker St,40.73535398,-74.00483091,2014,1,776
Perry St & Bleecker St,40.73535398,-74.00483091,2014,2,1
Pershing Square N,40.75188406,-73.97770164,2014,1,3408
Pershing Square S,40.75149263,-73.97798848,2014,1,1398
Pike St & E Broadway,40.71406667,-73.99293911,2014,1,753
Pike St & Monroe St,40.71173107,-73.99193043,2014,1,329
Pitt St & Stanton St,40.71926081,-73.98178024,2014,1,283
Railroad Ave & Kay Ave,40.70531194,-73.97100056,2014,1,28
Reade St & Broadway,40.71450451,-74.00562789,2014,1,704
Rivington St & Chrystie St,40.72110063,-73.9919254,2014,1,638
Rivington St & Ridge St,40.71850211,-73.98329859,2014,1,556
S 3 St & Bedford Ave,40.71260486,-73.96264403,2014,1,138
S 4 St & Wythe Ave,40.71285887,-73.96590294,2014,1,253
S 5 Pl & S 4 St,40.710451,-73.960876,2014,1,403
S Portland Ave & Hanson Pl,40.68539567,-73.97431458,2014,1,184
Sands St & Gold St,40.69986937,-73.98271933,2014,1,160
Shevchenko Pl & E 6 St,40.728145,-73.990214,2014,1,1146
South End Ave & Liberty St,40.711512,-74.015756,2014,1,985
South St & Gouverneur Ln,40.70355377,-74.00670227,2014,1,368
South St & Whitehall St,40.70122128,-74.01234218,2014,1,406
South St & Whitehall St,40.70122128,-74.01234218,2014,2,1
Spruce St & Nassau St,40.71146364,-74.00552427,2014,1,414
St James Pl & Oliver St,40.71307916,-73.99851193,2014,1,683
St James Pl & Pearl St,40.71117416,-74.00016545,2014,1,406
St Marks Pl & 1 Ave,40.72779126,-73.98564945,2014,1,1224
St Marks Pl & 2 Ave,40.7284186,-73.98713956,2014,1,1540
Stanton St & Chrystie St,40.72229346,-73.99147535,2014,1,923
Stanton St & Mangin St,40.71782143,-73.97628939,2014,1,449
Stanton St & Mangin St,40.71782143,-73.97628939,2014,2,1
State St,40.70251526,-74.01427023,2014,1,402
State St & Smith St,40.68926942,-73.98912867,2014,1,524
Suffolk St & Stanton St,40.72066442,-73.98517977,2014,1,1271
Suffolk St & Stanton St,40.72066442,-73.98517977,2014,2,1
Sullivan St & Washington Sq,40.73047747,-73.99906065,2014,1,852
University Pl & E 14 St,40.73492695,-73.99200509,2014,1,2008
Vesey Pl & River Terrace,40.7153379,-74.01658354,2014,1,1390
W 11 St & 6 Ave,40.73532427,-73.99800419,2014,1,954
W 13 St & 5 Ave,40.73543934,-73.99453948,2014,1,569
W 13 St & 6 Ave,40.73649403,-73.99704374,2014,1,1587
W 13 St & 7 Ave,40.73781509,-73.99994661,2014,1,1068
W 13 St & 7 Ave,40.73781509,-73.99994661,2014,2,1
W 14 St & The High Line,40.74195138,-74.00803013,2014,1,403
W 15 St & 7 Ave,40.73935542,-73.99931783,2014,1,1493
W 16 St & The High Line,40.74334935,-74.00681753,2014,1,1256
W 17 St & 8 Ave,40.74177603,-74.00149746,2014,1,1923
W 18 St & 6 Ave,40.73971301,-73.99456405,2014,1,2044
W 20 St & 11 Ave,40.746745,-74.007756,2014,1,630
W 20 St & 7 Ave,40.74238787,-73.99726235,2014,1,1377
W 20 St & 8 Ave,40.74345335,-74.00004031,2014,1,1050
W 20 St & 8 Ave,40.74345335,-74.00004031,2014,2,1
W 21 St & 6 Ave,40.74173969,-73.99415556,2014,1,3080
W 22 St & 10 Ave,40.74691959,-74.00451887,2014,1,1728
W 22 St & 8 Ave,40.74475148,-73.99915362,2014,1,1399
W 24 St & 7 Ave,40.74487634,-73.99529885,2014,1,1568
W 25 St & 6 Ave,40.74395411,-73.99144871,2014,1,1517
W 26 St & 10 Ave,40.74971775,-74.00295035,2014,1,1337
W 26 St & 8 Ave,40.74734825,-73.99723551,2014,1,1371
W 27 St & 7 Ave,40.746647,-73.993915,2014,1,1789
W 29 St & 9 Ave,40.7500727,-73.99839279,2014,1,800
W 31 St & 7 Ave,40.749156,-73.9916,2014,1,1975
W 33 St & 7 Ave,40.75019995,-73.99093085,2014,1,2152
W 34 St & 11 Ave,40.75594159,-74.0021163,2014,1,518
W 37 St & 10 Ave,40.75660359,-73.9979009,2014,1,1340
W 37 St & 5 Ave,40.75038009,-73.98338988,2014,1,1043
W 38 St & 8 Ave,40.75466591,-73.99138152,2014,1,2091
W 39 St & 9 Ave,40.75645824,-73.99372222,2014,1,1912
W 39 St & 9 Ave,40.75645824,-73.99372222,2014,2,2
W 4 St & 7 Ave S,40.73401143,-74.00293877,2014,1,1410
W 41 St & 8 Ave,40.75640548,-73.9900262,2014,1,2658
W 42 St & 8 Ave,40.7575699,-73.99098507,2014,1,1578
W 43 St & 10 Ave,40.76009437,-73.99461843,2014,1,1363
W 43 St & 6 Ave,40.75527307,-73.98316936,2014,1,1253
W 44 St & 5 Ave,40.75500254,-73.98014437,2014,1,990
W 45 St & 6 Ave,40.7568001,-73.98291153,2014,1,1157
W 45 St & 8 Ave,40.75929124,-73.98859651,2014,1,1130
W 46 St & 11 Ave,40.76341379,-73.99667444,2014,1,743
W 46 St & 11 Ave,40.76341379,-73.99667444,2014,2,1
W 47 St & 10 Ave,40.76269882,-73.99301222,2014,1,850
W 47 St & 10 Ave,40.76269882,-73.99301222,2014,2,1
W 49 St & 5 Ave,40.75795248,-73.97787642,2014,1,878
W 49 St & 8 Ave,40.76227205,-73.98788205,2014,1,1580
W 49 St & 8 Ave,40.76227205,-73.98788205,2014,2,1
W 51 St & 6 Ave,40.7606597,-73.98042047,2014,1,1217
W 52 St & 11 Ave,40.76727216,-73.99392888,2014,1,943
W 52 St & 5 Ave,40.75992262,-73.97648516,2014,1,870
W 52 St & 9 Ave,40.76461837,-73.98789473,2014,1,700
W 53 St & 10 Ave,40.76669671,-73.99061728,2014,1,903
W 54 St & 9 Ave,40.76584941,-73.98690506,2014,1,484
W 56 St & 10 Ave,40.768254,-73.988639,2014,1,900
W 56 St & 6 Ave,40.76340613,-73.97722479,2014,1,1484
W 59 St & 10 Ave,40.770513,-73.988038,2014,1,1189
W Broadway & Spring St,40.72490985,-74.00154702,2014,1,1158
W Houston St & Hudson St,40.72873888,-74.00748842,2014,1,1392
Warren St & Church St,40.71473993,-74.00910627,2014,1,723
Warren St & Church St,40.71473993,-74.00910627,2014,2,1
Washington Ave & Greene Ave,40.68650065,-73.96563307,2014,1,201
Washington Ave & Park Ave,40.69610226,-73.96751037,2014,1,346
Washington Park,40.69178232,-73.97372989,2014,1,204
Washington Pl & 6 Ave,40.73224119,-74.00026394,2014,1,775
Washington Pl & 6 Ave,40.73224119,-74.00026394,2014,2,1
Washington Pl & Broadway,40.72903917,-73.99404649,2014,1,885
