start_station_name,start_station_latitude,start_station_longitude,year,month,count
W Houston St & Hudson St,40.72873888,-74.00748842,2014,1,1434
Warren St & Church St,40.71473993,-74.00910627,2014,1,562
Washington Ave & Greene Ave,40.68650065,-73.96563307,2014,1,197
Washington Ave & Park Ave,40.69610226,-73.96751037,2014,1,312
Washington Park,40.69178232,-73.97372989,2014,1,224
Washington Pl & 6 Ave,40.73224119,-74.00026394,2014,1,824
Washington Pl & Broadway,40.72903917,-73.99404649,2014,1,1069
Washington Square E,40.73049393,-73.9957214,2014,1,1088
Washington St & Gansevoort St,40.739323,-74.008119,2014,1,1026
Water - Whitehall Plaza,40.70255065,-74.0127234,2014,1,565
Watts St & Greenwich St,40.72405549,-74.00965965,2014,1,777
West St & Chambers St,40.71754834,-74.01322069,2014,1,1504
West St & Chambers St,40.71754834,-74.01322069,2014,2,1
West Thames St,40.70834698,-74.01713445,2014,1,840
William St & Pine St,40.70717936,-74.00887308,2014,1,679
Willoughby Ave & Hall St,40.69196035,-73.96536851,2014,1,296
Willoughby Ave & Walworth St,40.69331716,-73.95381995,2014,1,183
Willoughby St & Fleet St,40.69196566,-73.9813018,2014,1,400
Wythe Ave & Metropolitan Ave,40.716887,-73.963198,2014,1,293
York St & Jay St,40.7014851,-73.98656928,2014,1,671
1 Ave & E 15 St,40.73221853,-73.98165557,2014,2,1318
1 Ave & E 15 St,40.73221853,-73.98165557,2014,3,1
1 Ave & E 18 St,40.73416059,-73.98024289,2014,2,1093
1 Ave & E 30 St,40.74144387,-73.97536082,2014,2,961
1 Ave & E 44 St,40.75001986,-73.96905301,2014,2,444
10 Ave & W 28 St,40.75066386,-74.00176802,2014,2,675
11 Ave & W 27 St,40.751396,-74.005226,2014,2,574
11 Ave & W 41 St,40.76030096,-73.99884222,2014,2,868
12 Ave & W 40 St,40.76087502,-74.00277668,2014,2,602
2 Ave & E 31 St,40.74290902,-73.97706058,2014,2,1371
2 Ave & E 58 St,40.76020258,-73.96478473,2014,2,542
3 Ave & Schermerhorn St,40.68683208,-73.9796772,2014,2,89
5 Ave & E 29 St,40.7451677,-73.98683077,2014,2,946
6 Ave & Broome St,40.724399,-74.004704,2014,2,580
6 Ave & Canal St,40.72243797,-74.00566443,2014,2,568
6 Ave & W 33 St,40.74901271,-73.98848395,2014,2,1290
7 Ave & Farragut St,40.69892054,-73.97332996,2014,2,75
8 Ave & W 31 St,40.75044999,-73.99481051,2014,2,2171
8 Ave & W 33 St,40.751551,-73.993934,2014,2,1943
8 Ave & W 33 St,40.751551,-73.993934,2014,3,1
8 Ave & W 52 St,40.76370739,-73.9851615,2014,2,676
9 Ave & W 14 St,40.7405826,-74.00550867,2014,2,830
9 Ave & W 16 St,40.74206539,-74.00443172,2014,2,1029
9 Ave & W 18 St,40.74317449,-74.00366443,2014,2,592
9 Ave & W 22 St,40.7454973,-74.00197139,2014,2,1106
9 Ave & W 45 St,40.76019252,-73.9912551,2014,2,868
Adelphi St & Myrtle Ave,40.69308257,-73.97178913,2014,2,401
Allen St & E Houston St,40.722055,-73.989111,2014,2,1101
Allen St & E Houston St,40.722055,-73.989111,2014,3,1
Allen St & Hester St,40.71605866,-73.99190759,2014,2,924
Allen St & Rivington St,40.72019576,-73.98997825,2014,2,1180
Ashland Pl & Hanson Pl,40.68528172,-73.97805813,2014,2,543
Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,2014,2,301
Atlantic Ave & Furman St,40.69165183,-73.9999786,2014,2,191
Avenue D & E 12 St,40.72580614,-73.97422494,2014,2,82
Avenue D & E 3 St,40.72082834,-73.97793172,2014,2,454
Avenue D & E 8 St,40.72368361,-73.97574813,2014,2,284
Bank St & Hudson St,40.73652889,-74.00618026,2014,2,752
Bank St & Washington St,40.7361967,-74.00859207,2014,2,570
Barclay St & Church St,40.71291224,-74.01020234,2014,2,1182
Barclay St & Church St,40.71291224,-74.01020234,2014,3,1
Barrow St & Hudson St,40.73172428,-74.00674436,2014,2,1019
Bayard St & Baxter St,40.71602118,-73.99974372,2014,2,769
Bedford Ave & S 9th St,40.70853074,-73.96408963,2014,2,41
Bialystoker Pl & Delancey St,40.71622644,-73.98261206,2014,2,427
Bond St & Schermerhorn St,40.68807003,-73.98410637,2014,2,277
Broad St & Bridge St,40.70365182,-74.01167797,2014,2,326
Broadway & Battery Pl,40.70463334,-74.01361706,2014,2,510
Broadway & Berry St,40.71044554,-73.96525063,2014,2,126
Broadway & E 14 St,40.73454567,-73.99074142,2014,2,1795
Broadway & E 22 St,40.7403432,-73.98955109,2014,2,1694
Broadway & W 24 St,40.7423543,-73.98915076,2014,2,1562
Broadway & W 29 St,40.7462009,-73.98855723,2014,2,777
Broadway & W 32 St,40.74854862,-73.98808416,2014,2,1117
Broadway & W 32 St,40.74854862,-73.98808416,2014,3,1
Broadway & W 36 St,40.75097711,-73.98765428,2014,2,409
